test_case,grid_size,num_searches_factor,random_seed,image_type,serial_image,parallel_image,serial_hash,parallel_hash,hash_match,total_pixels,different_pixels,percent_different,max_difference,avg_difference,error,diff_visualization
g200_f0.4_s3,200,0.4,3,search,q1/images/DungeonHunter_serial_g200_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g200_f0.4_s3_search.png,774856b16cfbfdd3374e2a3bf8a4d5a9,774856b16cfbfdd3374e2a3bf8a4d5a9,True,,,,,,,
g200_f0.4_s3,200,0.4,3,path,q1/images/DungeonHunter_serial_g200_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g200_f0.4_s3_path.png,3bf0f7c87d4841be310349a283b8d1ea,3bf0f7c87d4841be310349a283b8d1ea,True,,,,,,,
g200_f0.4_s60,200,0.4,60,search,q1/images/DungeonHunter_serial_g200_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g200_f0.4_s60_search.png,6b4abd10cfbe4bf2a00593fc21cf8a60,6b4abd10cfbe4bf2a00593fc21cf8a60,True,,,,,,,
g200_f0.4_s60,200,0.4,60,path,q1/images/DungeonHunter_serial_g200_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g200_f0.4_s60_path.png,05d4f2dd8198330d370334061ae58a9d,05d4f2dd8198330d370334061ae58a9d,True,,,,,,,
g225_f0.1_s3,225,0.1,3,search,q1/images/DungeonHunter_serial_g225_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g225_f0.1_s3_search.png,0e408571386268d0cb57f95d0e965fb4,0e408571386268d0cb57f95d0e965fb4,True,,,,,,,
g225_f0.1_s3,225,0.1,3,path,q1/images/DungeonHunter_serial_g225_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g225_f0.1_s3_path.png,a11b5ca3d5746aeab7892511ba525229,a11b5ca3d5746aeab7892511ba525229,True,,,,,,,
g225_f0.1_s60,225,0.1,60,search,q1/images/DungeonHunter_serial_g225_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g225_f0.1_s60_search.png,d37e0383abf9235fc912cddfb00b39fe,d37e0383abf9235fc912cddfb00b39fe,True,,,,,,,
g225_f0.1_s60,225,0.1,60,path,q1/images/DungeonHunter_serial_g225_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g225_f0.1_s60_path.png,38d5f4bd19068c3d26c1bc0ed725faa6,38d5f4bd19068c3d26c1bc0ed725faa6,True,,,,,,,
g225_f0.4_s3,225,0.4,3,search,q1/images/DungeonHunter_serial_g225_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g225_f0.4_s3_search.png,18cde86da93caa1e79538c57b311b468,18cde86da93caa1e79538c57b311b468,True,,,,,,,
g225_f0.4_s3,225,0.4,3,path,q1/images/DungeonHunter_serial_g225_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g225_f0.4_s3_path.png,5d47319c29f524a27ea803ad609a76b1,5d47319c29f524a27ea803ad609a76b1,True,,,,,,,
g225_f0.4_s60,225,0.4,60,search,q1/images/DungeonHunter_serial_g225_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g225_f0.4_s60_search.png,7ad5ae1fa6963896a54d1d73823910a4,7ad5ae1fa6963896a54d1d73823910a4,True,,,,,,,
g225_f0.4_s60,225,0.4,60,path,q1/images/DungeonHunter_serial_g225_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g225_f0.4_s60_path.png,488c57d91df38368a4159294882ca7ed,488c57d91df38368a4159294882ca7ed,True,,,,,,,
g275_f0.1_s3,275,0.1,3,search,q1/images/DungeonHunter_serial_g275_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g275_f0.1_s3_search.png,4a0cdca050e8b11fdea8e19fe08186dc,4a0cdca050e8b11fdea8e19fe08186dc,True,,,,,,,
g275_f0.1_s3,275,0.1,3,path,q1/images/DungeonHunter_serial_g275_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g275_f0.1_s3_path.png,3f64f474106accee642e216d5b431a9f,3f64f474106accee642e216d5b431a9f,True,,,,,,,
g275_f0.1_s60,275,0.1,60,search,q1/images/DungeonHunter_serial_g275_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g275_f0.1_s60_search.png,bed1a86b63d0508138cc2812bdfe23b4,bed1a86b63d0508138cc2812bdfe23b4,True,,,,,,,
g275_f0.1_s60,275,0.1,60,path,q1/images/DungeonHunter_serial_g275_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g275_f0.1_s60_path.png,4deca0c3c4099faa2fdbe5fa13c50904,4deca0c3c4099faa2fdbe5fa13c50904,True,,,,,,,
g275_f0.4_s3,275,0.4,3,search,q1/images/DungeonHunter_serial_g275_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g275_f0.4_s3_search.png,ccd04aa18e16c649d42ec6336599d6c6,ccd04aa18e16c649d42ec6336599d6c6,True,,,,,,,
g275_f0.4_s3,275,0.4,3,path,q1/images/DungeonHunter_serial_g275_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g275_f0.4_s3_path.png,7a3a4cbe92c79fa45508c03f4d5a8517,7a3a4cbe92c79fa45508c03f4d5a8517,True,,,,,,,
